d freq
0 6
1 10
2 6
3 10
4 12
5 16
6 16
7 19
8 19
9 21
10 19
11 22
12 21
13 19
14 18
15 18
16 16
17 15
18 13
19 12
20 10
21 9
22 7
23 6
24 5
25 4
26 3
27 2
28 2
29 1
30 1
31 1
