d freq
0 4
1 8
2 14
3 19
4 22
5 25
6 31
7 41
8 55
9 73
10 95
11 113
12 126
13 129
14 123
15 111
16 95
17 79
18 58
19 42
20 29
21 19
22 11
23 6
24 3
25 1
