d freq
0 5
1 8
2 12
3 19
4 21
5 27
6 33
7 44
8 57
9 75
10 94
11 113
12 123
13 127
14 121
15 111
16 96
17 75
18 57
19 41
20 28
21 18
22 10
23 6
24 4
25 2
26 1
