d freq
0 3
1 6
2 9
3 14
4 19
5 21
6 28
7 36
8 46
9 59
10 80
11 96
12 112
13 124
14 126
15 121
16 107
17 89
18 71
19 54
20 40
21 27
22 17
23 11
24 6
25 4
26 2
27 1
