
1,5
2,18
3,12
4,19
5,22
6,40
7,35
8,48
9,69
10,146
11,201
12,206
13,169
14,108
15,58
16,29
17,21
18,14
19,6
20,6
21,2
22,6
23,8
24,10
25,2
26,3
27,2
28,3
29,2
30,1
31,4
32,3
33,0
34,5
35,0
36,1
37,0
38,3
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,3
47,1
48,1
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,2
