d freq
0 1
1 2
2 4
3 4
4 8
5 15
6 26
7 57
8 108
9 203
10 339
11 528
12 790
13 1121
14 1548
15 1957
16 2377
17 2579
18 2722
19 2770
20 2715
21 2546
22 2355
23 1988
24 1674
25 1367
26 1081
27 869
28 685
29 530
30 411
31 294
32 198
33 136
34 88
35 55
36 30
37 16
38 10
39 5
40 2
41 1
