d freq
0 3
1 3
2 1215
3 1533
4 2393
5 1927
6 2349
7 3186
8 2392
9 3268
10 2601
11 3767
12 2720
13 2325
14 1708
15 1019
16 700
17 439
18 335
19 184
20 45
21 81
22 22
23 7
24 3
