d freq
1 2
2 4
3 3
4 8
5 13
6 18
7 38
8 73
9 128
10 229
11 379
12 591
13 878
14 1183
15 1546
16 1929
17 2302
18 2614
19 2821
20 2871
21 2793
22 2598
23 2359
24 2004
25 1706
26 1357
27 1021
28 757
29 563
30 422
31 312
32 236
33 180
34 121
35 72
36 42
37 22
38 11
39 4
40 1
