d freq
0 6
1 10
2 10
3 6
4 5
5 8
6 12
7 18
8 24
9 31
10 35
11 37
12 39
13 37
14 34
15 28
16 21
17 15
18 11
19 7
20 5
21 3
22 1
23 1
